name,description,type,category,price,units,stock,discount,images
Ultratech Cement,High quality cement,Cement,Construction Materials,400,Bag,60,2,https://source.unsplash.com/400x300/?construction materials&865
ACC Cement,Durable cement,Cement,Construction Materials,400,Bag,98,4,https://source.unsplash.com/400x300/?construction materials&323
Shree TMT 550,Strong steel bars,Steel,Construction Materials,60,Kg,37,13,https://source.unsplash.com/400x300/?construction materials&22
AF Steel,Reliable steel,Steel,Construction Materials,58,Kg,99,14,https://source.unsplash.com/400x300/?construction materials&312
River Red Sand,Fine river sand,Sand,Construction Materials,1800,Ton,71,17,https://source.unsplash.com/400x300/?construction materials&122
20mm Aggregate,Construction aggregate,Aggregate,Construction Materials,800,Ton,79,6,https://source.unsplash.com/400x300/?construction materials&453
40mm Aggregate,Large aggregate,Aggregate,Construction Materials,800,Ton,79,0,https://source.unsplash.com/400x300/?construction materials&837
Century Sainik 18mm Plywood (8'x4'),Premium plywood,Plywood,Interior Products,3520,Sheet,79,11,https://source.unsplash.com/400x300/?interior design&755
Greenply 18mm plywood (8'x4'),Quality plywood,Plywood,Interior Products,2900,Sheet,55,16,https://source.unsplash.com/400x300/?interior design&401
Virgo Laminates,Decorative laminates,Laminates,Interior Products,1500,Sheet,39,2,https://source.unsplash.com/400x300/?interior design&244
Century Laminates,Premium laminates,Laminates,Interior Products,1800,Sheet,53,4,https://source.unsplash.com/400x300/?interior design&362
Marino Laminates,Designer laminates,Laminates,Interior Products,2000,Sheet,52,18,https://source.unsplash.com/400x300/?interior design&796
EBCo Hinges,Durable hinges,Hardware,Interior Products,135,Set,42,5,https://source.unsplash.com/400x300/?interior design&33
Hettich Hinges,Premium hinges,Hardware,Interior Products,175,Set,16,7,https://source.unsplash.com/400x300/?interior design&191
Nimmi Hinges,Standard hinges,Hardware,Interior Products,155,Set,97,8,https://source.unsplash.com/400x300/?interior design&903
EBCO Telescopic Channels,Sliding channels,Hardware,Interior Products,350,Set,100,17,https://source.unsplash.com/400x300/?interior design&611
Hettich Telescopic Channels,Premium channels,Hardware,Interior Products,550,Set,34,17,https://source.unsplash.com/400x300/?interior design&617
22 mm Edge beeding (0.8mm),Edge finishing,Edge Beeding,Interior Products,20,Mtr,14,6,https://source.unsplash.com/400x300/?interior design&435
32 mm Edge beeding (1.0 mm),Thick edge finishing,Edge Beeding,Interior Products,55,Mtr,31,6,https://source.unsplash.com/400x300/?interior design&168
Fevicol SH-50kg,Strong adhesive,Adhesive,Interior Products,10000,Nos,52,8,https://source.unsplash.com/400x300/?interior design&183
"1"" Upvc Pipe Ashirward",UPVC water pipe,Upvc Pipes,Plumbing & Bathware,30,Mtr,71,18,https://source.unsplash.com/400x300/?plumbing fixtures&123
"3/4"" Upvc Pipe Ashirwad",Small UPVC pipe,Upvc Pipes,Plumbing & Bathware,20,Mtr,60,0,https://source.unsplash.com/400x300/?plumbing fixtures&167
75 mm Shiva Ganga HDPE Pipe,HDPE water pipe,HDPE Pipes,Plumbing & Bathware,200,Mtr,68,20,https://source.unsplash.com/400x300/?plumbing fixtures&51
100 mm Shiva Ganga HDPE Pipe,Large HDPE pipe,HDPE Pipes,Plumbing & Bathware,300,Mtr,14,7,https://source.unsplash.com/400x300/?plumbing fixtures&996
"2"" PVC Ashirwad",PVC water pipe,PVC Pipes,Plumbing & Bathware,60,Mtr,93,20,https://source.unsplash.com/400x300/?plumbing fixtures&534
"1"" Pvc Ashirwad",Standard PVC pipe,PVC Pipes,Plumbing & Bathware,50,Mtr,67,13,https://source.unsplash.com/400x300/?plumbing fixtures&671
Ashirwad SS Taps Long Neck,Stainless steel tap,Fixtures,Plumbing & Bathware,200,Nos,100,20,https://source.unsplash.com/400x300/?plumbing fixtures&294
"22"" Handwash",Handwash basin,Fixtures,Plumbing & Bathware,2000,Nos,49,9,https://source.unsplash.com/400x300/?plumbing fixtures&719
Single Unit Hindware Western Commode,Western toilet,Fixtures,Plumbing & Bathware,7000,Nos,91,9,https://source.unsplash.com/400x300/?plumbing fixtures&729
Indian Commode Hindware,Indian toilet,Fixtures,Plumbing & Bathware,3000,Nos,57,6,https://source.unsplash.com/400x300/?plumbing fixtures&701
Mixture Hindware,Bathroom mixer,Fixtures,Plumbing & Bathware,5000,Nos,29,5,https://source.unsplash.com/400x300/?plumbing fixtures&668
1 mm Finolex wire (90 mtr),Electrical wire,Wires,Electrical,1050,Box,94,17,https://source.unsplash.com/400x300/?electrical equipment&375
1.5 mm Finolex Wire (90 mtr),Thicker wire,Wires,Electrical,1400,Box,81,2,https://source.unsplash.com/400x300/?electrical equipment&12
15W Orient Fall ceiling Light,Ceiling light,Lights,Electrical,350,Nos,10,13,https://source.unsplash.com/400x300/?electrical equipment&965
10 W Orient Fall Ceiling light,Small ceiling light,Lights,Electrical,300,Nos,17,16,https://source.unsplash.com/400x300/?electrical equipment&114
Roof Light,Roof lighting,Lights,Electrical,50,Mtr,14,6,https://source.unsplash.com/400x300/?electrical equipment&728
Anchor Roma Swithchs,Electrical switches,Switches & Boards,Electrical,50,Nos,94,20,https://source.unsplash.com/400x300/?electrical equipment&305
Anchor Roma Swith Box 8 Model,Switch box,Switches & Boards,Electrical,150,Nos,81,16,https://source.unsplash.com/400x300/?electrical equipment&41
Asian Putty,Wall putty,Putty,Paints,800,Bag,57,2,https://source.unsplash.com/400x300/?paint cans&346
Asian Primer (20 Ltr),Base primer,Primers,Paints,3000,Nos,86,1,https://source.unsplash.com/400x300/?paint cans&879
Asian Tractor Emulsion (20 ltr),Interior paint,Internal Paints,Paints,4000,Nos,33,19,https://source.unsplash.com/400x300/?paint cans&591
Asian Apex Ultima (20 ltr),Exterior paint,External Paints,Paints,10000,Nos,72,18,https://source.unsplash.com/400x300/?paint cans&940
Asian Enemal paint (1 ltr),Enamel paint,Enamel Paints,Paints,100,Nos,49,8,https://source.unsplash.com/400x300/?paint cans&896
4x2 Tiles Johnson,Large floor tiles,Floor Tiles,Tiles & Granites,50,Sft,86,7,https://source.unsplash.com/400x300/?tiles marble&684
2x2 Tiles Johnson,Medium floor tiles,Floor Tiles,Tiles & Granites,40,Sft,44,12,https://source.unsplash.com/400x300/?tiles marble&478
1x2 Johnson,Bathroom wall tiles,Bath room Dadoo,Tiles & Granites,30,Sft,70,5,https://source.unsplash.com/400x300/?tiles marble&674
1x1 Johnson tiles,Bathroom floor tiles,Bath room Flooring,Tiles & Granites,30,Sft,18,20,https://source.unsplash.com/400x300/?tiles marble&424
White Epoxy (10 kg),Tile adhesive,Adhesives,Tiles & Granites,200,Nos,14,19,https://source.unsplash.com/400x300/?tiles marble&3
Z Block Granite,Granite slab,Granite,Tiles & Granites,100,Sft,15,18,https://source.unsplash.com/400x300/?tiles marble&943
White Marble,Marble slab,Marbles,Tiles & Granites,100,Sft,43,9,https://source.unsplash.com/400x300/?tiles marble&606
Carpenters,Skilled carpenters,Carpenters,Man Power supply,1000,Day,61,7,https://source.unsplash.com/400x300/?construction workers&719
Painters,Professional painters,Painters,Man Power supply,900,Day,73,5,https://source.unsplash.com/400x300/?construction workers&562
Electrician,Certified electricians,Electrician,Man Power supply,1100,Day,77,18,https://source.unsplash.com/400x300/?construction workers&306
Plumbers,Experienced plumbers,Plumbers,Man Power supply,1000,Day,100,1,https://source.unsplash.com/400x300/?construction workers&505
Civil Masons,Construction masons,Masons,Man Power supply,950,Day,31,0,https://source.unsplash.com/400x300/?construction workers&897
Labours,General laborers,Labour,Man Power supply,700,Day,54,10,https://source.unsplash.com/400x300/?construction workers&808
Tile labours,Tile installation experts,Tile labour,Man Power supply,850,Day,86,12,https://source.unsplash.com/400x300/?construction workers&852
JCB,Earth moving equipment,Machinery,Machinery & Equipments,5000,Day,66,1,https://source.unsplash.com/400x300/?construction machinery&558
Ex 70,Excavator,Machinery,Machinery & Equipments,6000,Day,58,16,https://source.unsplash.com/400x300/?construction machinery&85
600 cft Tipper,Large tipper truck,Machinery,Machinery & Equipments,4000,Day,63,7,https://source.unsplash.com/400x300/?construction machinery&519
300 Cft Tipper,Medium tipper truck,Machinery,Machinery & Equipments,3000,Day,44,17,https://source.unsplash.com/400x300/?construction machinery&186
JCB CC Breaker,Concrete breaker,Machinery,Machinery & Equipments,4500,Day,46,18,https://source.unsplash.com/400x300/?construction machinery&265
Drilling Machine,Power drill,Equipments,Machinery & Equipments,1500,Day,17,3,https://source.unsplash.com/400x300/?construction machinery&435
Cutting Machine,Material cutter,Equipments,Machinery & Equipments,1200,Day,30,10,https://source.unsplash.com/400x300/?construction machinery&870
Grinding Machine,Surface grinder,Equipments,Machinery & Equipments,1300,Day,37,10,https://source.unsplash.com/400x300/?construction machinery&329
